instant_water_level,water_level_after_one_hour,water_level_after_three_hours,water_level_after_seven_hours,wind_speed,atmospheric_pressure,typhoon_center_pressure,maximum_wind_speed,local_rainfall
6.13,6.24,8.21,10.92,10.8,985.7,970,29,8
6.24,7.07,9.25,10.98,12.3,986.6,970,29,24.5
7.07,8.21,10.15,10.96,7.3,988.4,970,25.2,15.5
8.21,9.25,10.75,10.87,6.8,989.5,970,25,11.5
9.25,10.15,10.92,10.55,10.2,991.1,970,24.1,11
10.15,10.75,10.98,10.33,10.3,991.9,970,21.2,4.5
10.75,10.92,10.96,9.94,6.3,993.4,970,15,11
10.92,10.98,10.87,9.61,5.3,994.3,970,18,3.5
10.98,10.96,10.55,9.53,3.3,994.8,975,11.4,1.5
10.96,10.87,10.33,9.73,3.5,995.9,975,10.8,1
10.87,10.55,9.94,9.97,2.9,996.2,975,10.3,1.5
10.55,10.33,9.61,10.02,3.5,997.4,975,8.6,17.5
10.33,9.94,9.53,9.98,0.6,996.7,975,9.1,16.5
9.94,9.61,9.73,9.85,3.8,996,975,7.2,2.5
9.61,9.53,9.97,9.64,6,997.4,980,12,4.5
9.53,9.73,10.02,9.43,4.6,998.4,980,13,28
9.73,9.97,9.98,9.16,4.9,999.2,980,14.4,19.5
9.97,10.02,9.85,8.98,3.1,999.4,980,12.7,5.5
10.02,9.98,9.64,8.82,1.2,999.5,980,7,0.5
9.98,9.85,9.43,8.64,2.5,1000,980,5,0
9.85,9.64,9.16,8.53,1.6,1000.7,992,6.4,0
9.64,9.43,8.98,8.4,3.8,1001.4,992,8.8,0
9.43,9.16,8.82,8.24,3.2,1001.6,992,9.3,0
9.16,8.98,8.64,8.14,3.3,1002.2,992,8.6,0